WARNING: File RAM_Data.txt referenced on C:/Users/pkran/RISC_complete_simu/RISC_complete_simu.srcs/sim_1/new/test_bench_top_level.v at line 23 cannot be opened for reading. Please ensure that this file is available in the current working directory.
WARNING: File RegFile_Data.txt referenced on C:/Users/pkran/RISC_complete_simu/RISC_complete_simu.srcs/sim_1/new/test_bench_top_level.v at line 27 cannot be opened for reading. Please ensure that this file is available in the current working directory.
CLK = 0000000000000000000000000000000000000000000000000000000000000000 RST = 0 PC_out = 1 RAM_Addr =          x RAM_Data =          x RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = x RAM_out = x IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = x RegData = x RegAddr =          x A_Reg =          x B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          x ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = x OF = x BF = x EPC_EN = x CAUSE_EN = x STATE = x x
CLK = 0000000000000000000000000000000000000000000000000000000000000101 RST = 0 PC_out = 0 RAM_Addr =          0 RAM_Data =          0 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 1 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          1 A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          0 ALU_OUT =          1 NF = 00000000000000000000000000000001 ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 0
CLK = 0000000000000000000000000000000000000000000000000000000000001010 RST = 0 PC_out = 1 RAM_Addr =          0 RAM_Data =          0 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 1 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          1 A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          0 ALU_OUT =          1 NF = 00000000000000000000000000000001 ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 0

CLK = 0000000000000000000000000000000000000000000000000000000000011001 RST = 1 PC_out = 1 RAM_Addr =          1 RAM_Data =          1 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          1 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 1

CLK = 0000000000000000000000000000000000000000000000000000000000110010 RST = 0 PC_out = 1 RAM_Addr =          1 RAM_Data =          1 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          1 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 1

CLK = 0000000000000000000000000000000000000000000000000000000001001011 RST = 1 PC_out = 1 RAM_Addr =          1 RAM_Data =          1 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          1 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 1 STATE = 135

CLK = 0000000000000000000000000000000000000000000000000000000001100100 RST = 0 PC_out = 1 RAM_Addr =          1 RAM_Data =          1 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          1 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 1 STATE = 135
